epi_date_V2,Cases,7-Day Average,Cumulative Cases,AsOf
6/12/2022,17,12.71428571,168,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/13/2022,14,13,182,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/14/2022,23,13.85714286,205,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/15/2022,28,17,233,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/16/2022,20,19.28571429,253,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/17/2022,21,19.42857143,274,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/18/2022,21,20.57142857,295,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/19/2022,23,21.42857143,318,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/20/2022,21,22.42857143,339,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/21/2022,26,22.85714286,365,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/22/2022,40,24.57142857,405,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/23/2022,41,27.57142857,446,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/24/2022,42,30.57142857,488,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/25/2022,42,33.57142857,530,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/26/2022,43,36.42857143,573,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/27/2022,93,46.71428571,666,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/28/2022,79,54.28571429,745,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/29/2022,78,59.71428571,823,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/30/2022,101,68.28571429,924,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/1/2022,116,78.85714286,1040,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/2/2022,100,87.14285714,1140,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/3/2022,98,95,1238,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/4/2022,107,97,1345,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/5/2022,150,107.1428571,1495,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/6/2022,154,118,1649,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/7/2022,166,127.2857143,1815,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/8/2022,200,139.2857143,2015,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/9/2022,147,146,2162,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/10/2022,137,151.5714286,2299,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/11/2022,299,179,2598,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/12/2022,214,188.1428571,2812,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/13/2022,278,205.8571429,3090,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/14/2022,265,220,3355,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/15/2022,341,240.1428571,3696,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/16/2022,205,248.4285714,3901,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/17/2022,174,253.7142857,4075,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/18/2022,367,263.4285714,4442,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/19/2022,308,276.8571429,4750,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/20/2022,315,282.1428571,5065,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/21/2022,298,286.8571429,5363,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/22/2022,380,292.4285714,5743,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/23/2022,250,298.8571429,5993,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/24/2022,228,306.5714286,6221,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/25/2022,526,329.2857143,6747,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/26/2022,359,336.5714286,7106,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/27/2022,474,359.2857143,7580,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/28/2022,433,378.5714286,8013,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/29/2022,454,389.1428571,8467,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/30/2022,311,397.8571429,8778,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
7/31/2022,258,402.1428571,9036,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/1/2022,568,408.1428571,9604,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/2/2022,499,428.1428571,10103,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/3/2022,481,429.1428571,10584,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/4/2022,457,432.5714286,11041,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/5/2022,486,437.1428571,11527,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/6/2022,328,439.5714286,11855,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/7/2022,256,439.2857143,12111,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/8/2022,566,439,12677,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/9/2022,466,434.2857143,13143,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/10/2022,514,439,13657,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/11/2022,424,434.2857143,14081,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/12/2022,439,427.5714286,14520,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/13/2022,297,423.1428571,14817,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/14/2022,252,422.5714286,15069,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/15/2022,563,422.1428571,15632,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/16/2022,391,411.4285714,16023,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/17/2022,371,391,16394,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/18/2022,441,393.4285714,16835,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/19/2022,432,392.4285714,17267,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/20/2022,259,387,17526,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/21/2022,191,378.2857143,17717,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/22/2022,429,359.1428571,18146,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/23/2022,412,362.1428571,18558,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/24/2022,325,355.5714286,18883,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/25/2022,366,344.8571429,19249,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/26/2022,357,334.1428571,19606,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/27/2022,157,319.5714286,19763,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/28/2022,160,315.1428571,19923,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/29/2022,404,311.5714286,20327,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/30/2022,324,299,20651,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
8/31/2022,279,292.4285714,20930,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/1/2022,415,299.4285714,21345,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/2/2022,326,295,21671,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/3/2022,147,293.5714286,21818,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/4/2022,119,287.7142857,21937,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/5/2022,161,253,22098,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/6/2022,432,268.4285714,22530,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/7/2022,222,260.2857143,22752,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/8/2022,245,236,22997,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/9/2022,249,225,23246,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/10/2022,108,219.4285714,23354,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/11/2022,86,214.7142857,23440,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/12/2022,189,218.7142857,23629,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/13/2022,238,191,23867,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/14/2022,176,184.4285714,24043,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/15/2022,161,172.4285714,24204,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/16/2022,187,163.5714286,24391,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/17/2022,99,162.2857143,24490,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/18/2022,85,162.1428571,24575,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/19/2022,296,177.4285714,24871,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/20/2022,180,169.1428571,25051,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/21/2022,224,176,25275,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/22/2022,147,174,25422,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/23/2022,159,170,25581,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/24/2022,64,165,25645,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/25/2022,51,160.1428571,25696,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/26/2022,179,143.4285714,25875,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/27/2022,136,137.1428571,26011,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/28/2022,157,127.5714286,26168,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/29/2022,117,123.2857143,26285,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
9/30/2022,107,115.8571429,26392,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/1/2022,51,114,26443,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/2/2022,35,111.7142857,26478,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/3/2022,124,103.8571429,26602,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/4/2022,101,98.85714286,26703,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/5/2022,91,89.42857143,26794,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/6/2022,96,86.42857143,26890,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/7/2022,101,85.57142857,26991,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/8/2022,24,81.71428571,27015,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/9/2022,19,79.42857143,27034,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/10/2022,38,67.14285714,27072,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/11/2022,127,70.85714286,27199,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/12/2022,95,71.42857143,27294,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/13/2022,85,69.85714286,27379,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/14/2022,74,66,27453,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/15/2022,19,65.28571429,27472,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/16/2022,7,63.57142857,27479,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/17/2022,86,70.42857143,27565,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/18/2022,32,56.85714286,27597,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
10/19/2022,35,48.28571429,27632,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
